       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Fiebre paratifoidea(A01.1-A01.4),1,,1,1,1,2,3,1,4,8,5,13,3,2,5,1,2,3,16,8,24,4,,4,7,6,13,2,1,3,5,3,8,80
Fiebre reumática aguda(I00-I02),,,,,,,1,,1,,,,,,,,,,,1,1,,,,,1,1,,,,,,,3
Fiebre tifoidea(A01.0),1,,1,1,5,6,5,4,9,10,,10,9,7,16,5,1,6,20,10,30,10,2,12,14,2,16,4,1,5,12,5,17,128
Giardiasis(A07.1),3,,3,5,7,12,2,5,7,1,1,2,,1,1,,,,,,,,,,,,,,,,,1,1,26
Gingivitis y enfermedad periodontal(K05),1,1,2,40,49,89,271,199,470,400,393,793,563,459,1022,492,324,816,2267,1360,3627,828,630,1458,1568,1324,2892,695,620,1315,1462,1230,2692,15176
Hepatitis vírica A(B15),,,,,,,1,,1,1,,1,,,,2,2,4,1,3,4,,,,3,1,4,,,,,,,14
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,2,2,,,,1,,1,,,,,,,3
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,3,3,1,1,2,1,3,4,3,,3,1,2,3,15
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,1,1,,,,,1,1,,,,,3,3,1,1,2,,,,,,,,,,7
Herpes genital(A60.0),,,,,,,,,,,,,1,,1,2,2,4,3,9,12,1,,1,6,6,12,1,1,2,1,4,5,34
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,7,7,,23,23,,129,129,,95,95,,326,326,583
Hipertensión arterial(I10-I15),,,,,,,,,,,,,1,6,7,11,10,21,221,331,552,203,145,348,336,355,691,124,138,262,322,248,670,2451
Infección asintomática por VIH(Z21),,,,,,,,,,,,,,1,1,,2,2,3,8,11,,,,3,2,5,,1,1,,3,3,23
Infección asociada a la atención de la salud(S/C),1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,1,,1,1,5
"Infección de vías urinarias(N30, N34, N39.0)",115,49,164,845,253,1098,1276,344,1620,718,243,961,959,262,1221,819,223,1042,6353,1504,7857,2506,660,3166,5621,1634,7255,2481,820,3301,7987,3088,11075,38760
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,,1,1,12,5,17,37,9,46,10,2,12,13,5,18,4,,4,1,3,4,102
Infección por virus Zika(A92.5),3,1,4,6,7,13,6,14,20,9,14,23,14,10,24,21,7,28,110,62,172,18,27,45,31,23,54,11,4,15,4,8,12,410
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",563,687,1250,3144,3430,6574,2304,2380,4684,1743,2037,3780,1203,1273,2476,713,586,1299,3988,3607,7595,1512,1220,2732,2924,2146,5070,1207,834,2041,3616,2108,5724,43225
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",4244,4647,8891,17358,18911,36269,15341,15727,31068,10822,11146,21968,7068,6222,13290,3919,3078,6997,22632,17008,39640,9106,6314,15420,19458,12554,32012,7934,5203,13137,#¡REF!,#¡REF!,#¡REF!,247832
Influenza(J09-J11),1,1,2,6,8,14,12,7,19,6,11,17,4,6,10,3,6,9,23,28,51,18,13,31,28,24,52,9,9,18,23,21,44,267
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,4,,4,11,1,12,264,44,308,203,40,243,475,105,580,257,72,329,703,260,963,2439
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,1,1,3
Intoxicación alimentaria bacteriana(A05),1,1,2,9,7,16,12,11,23,12,13,25,7,3,10,3,2,5,7,12,19,6,1,7,10,10,20,3,2,5,10,5,15,147
Intoxicación por monóxido de carbono(T58),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,2
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,2,2,1,1,2,5,1,6,5,4,9,1,2,3,8,10,18,4,3,7,8,4,12,3,4,7,8,4,12,78
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,,1,3
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,3,1,4,1,2,3,,2,2,,1,1,5,10,15,2,2,4,1,3,4,1,,1,2,2,4,38
Labio y paladar hendido(Q35-Q37),,4,4,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,5
Leishmaniasis cutánea(B55.1),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,2
Leptospirosis(A27),,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,1,1,3
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,,1,3
Mordeduras por otros mamíferos(W55),,1,1,3,3,6,4,6,10,5,2,7,4,3,7,4,5,9,19,10,29,8,3,11,8,5,13,3,,3,17,14,31,127
Mordeduras por perro(W54),2,,2,10,17,27,38,48,86,40,63,103,25,51,76,17,23,40,92,73,165,45,37,82,92,80,172,37,37,74,64,76,140,967
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",14,11,25,24,30,54,5,10,15,8,7,15,2,6,8,2,2,4,20,21,41,8,11,19,37,33,70,28,20,48,193,203,396,695
Obesidad(E66),6,7,13,38,55,93,176,225,401,332,397,729,211,162,373,81,75,156,538,423,961,213,218,431,386,297,683,110,102,212,132,82,214,4266
Otitis media aguda(H65.0-H65.1),40,38,78,271,284,555,254,243,497,145,133,278,93,61,154,45,33,78,258,208,466,86,74,160,169,112,281,66,42,108,140,83,223,2878
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",11,6,17,207,219,426,272,225,497,224,189,413,97,117,214,55,45,100,242,162,404,90,67,157,178,150,328,59,64,123,134,130,264,2943
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,1,1,1,,1,,1,1,1,,1,,,,,,,1,1,2,,,,,1,1,,,,7
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,,,,,1,1,,,,,1,1,3,2,5,1,2,3,1,1,2,,,,3,4,7,19
Otras salmonelosis(A02),,,,1,1,2,9,6,15,14,3,17,18,10,28,13,5,18,56,17,73,23,5,28,32,10,42,17,3,20,15,7,22,265
Parálisis flácida aguda(U98),,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Parotiditis infecciosa(B26),1,,1,2,9,11,6,6,12,5,8,13,,3,3,1,1,2,3,7,10,4,,4,1,3,4,2,1,3,4,,4,67
Peatón lesionado en accidente de transporte(V01-V09),1,,1,1,1,2,2,1,3,1,,1,,1,1,1,,1,5,1,6,,2,2,4,2,6,1,1,2,6,7,13,38
Quemaduras(T20-T32),3,5,8,33,34,67,33,29,62,31,47,78,34,30,64,36,31,67,236,172,408,86,49,135,139,85,224,64,34,98,125,69,194,1405
Shigelosis(A03),,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,2
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,1,1,,,,,,,4
Síndrome coqueluchoide(U99),,2,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,3
Síndrome de inmunodeficiencia adquirida(B20-B24),,1,1,,,,,,,,,,,,,,4,4,2,11,13,,5,5,1,3,4,,2,2,,1,1,30
Síndrome febril(R50),39,35,74,122,136,258,150,158,308,123,170,293,97,115,212,51,27,78,425,334,759,131,90,221,222,199,421,84,64,148,145,178,323,3095
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,2,2,,,,,,,,,,,,,1,1,2,,,,,,,4
Teniasis(B68),,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1
Toxoplasmosis(B58),,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,1,1,2,6,,6,2,,2,,,,,,,10
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,1,,1,,,,,1,1,2,1,3,,,,2,1,3,,,,4,3,7,15
Tuberculosis respiratoria(A15-A16),,,,,1,1,,1,1,,,,,1,1,1,3,4,3,7,10,8,4,12,7,17,24,5,4,9,8,18,26,88
Tumor maligno de la mama(C50),,,,,,,,,,2,,2,,,,,,,36,1,37,26,,26,75,2,77,28,,28,98,,98,268
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,11,,11,5,,5,8,,8,6,,6,24,,24,54
"Úlceras, gastritis y duodenitis(K25-K29)",1,1,2,2,2,4,46,41,87,226,154,380,262,146,408,173,96,269,825,498,1323,245,154,399,560,334,894,198,147,345,567,372,939,5050
Varicela(B01),22,19,41,144,198,342,165,182,347,76,86,162,34,44,78,14,18,32,50,83,133,8,10,18,5,13,18,1,,1,3,2,5,1177
Violencia intrafamiliar(Y07.0-Y07.2),,,,,1,1,,,,,,,1,,1,,,,8,,8,,,,1,1,2,,,,4,,4,16
Vulvovaginitis(N76),1,,1,11,,11,24,,24,34,,34,50,,50,101,,101,734,,734,238,,238,340,,340,97,,97,132,,132,1762
Total general,5311,5785,11096,23219,24735,47954,21295,21050,42345,15742,16037,31779,11342,9564,20906,7001,4907,11908,42682,28741,71423,16839,10905,27744,35304,21699,57003,14607,9177,23784,36403,21874,58277,404585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2017 (Casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,,7,7,11,10,21,6,14,20,14,19,33,15,23,38,64,95,159,13,19,32,26,28,54,2,8,10,16,12,28,403
"Amebiasis intestinal(A06.0-A06.3, A06.9)",16,14,30,41,53,94,51,51,102,28,31,59,15,19,34,8,11,19,72,59,131,27,22,49,39,33,72,22,19,41,40,21,61,692
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,4,2,6,2,6,8,7,5,12,3,4,7,,,,8,3,11,2,1,3,5,4,9,1,2,3,7,,7,66
Ascariasis(B77),,,,3,4,7,,1,1,,2,2,,3,3,,,,,1,1,,,,,1,1,1,,1,,,,16
"Asma(J45, J46)",15,22,37,209,292,501,140,191,331,79,100,179,33,31,64,16,8,24,124,36,160,36,10,46,95,40,135,41,13,54,89,27,116,1647
Bocio endémico(E01),,,,1,,1,1,1,2,,1,1,,,,1,,1,5,,5,3,,3,10,1,11,3,,3,10,3,13,40
Brucelosis(A23),,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,2
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,4,,4,9,1,10,9,,9,149,8,157,50,,50,71,6,77,12,2,14,50,2,52,373
Chancro blando(A57),,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,2
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,2,2,1,4,5,3,8,11,,5,5,,11,11,34
Cisticercosis(B69),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
Conjuntivitis epidémica aguda hemorrágica(B30.3),,,,,1,1,,,,,,,1,,1,,,,,1,1,,,,,,,,1,1,,,,4
Conjuntivitis(H10),186,223,409,743,740,1483,816,981,1797,755,874,1629,465,431,896,271,210,481,2643,2773,5416,817,934,1751,1692,1512,3204,687,611,1298,1630,1201,2831,21195
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,5,5,4,4,8,2,3,5,4,5,9,1,3,4,9,12,21,7,9,16,2,12,14,2,5,7,3,4,7,96
Dengue con signos de alarma(A97.1),,,,1,2,3,2,1,3,3,3,6,,3,3,1,1,2,3,9,12,1,3,4,5,3,8,3,,3,1,2,3,47
Dengue grave(A97.2),,,,,,,,,,,,,,,,,,,1,,1,,,,1,2,3,,1,1,1,,1,6
"Dengue no grave(A97.0, A97.9)",,2,2,5,6,11,7,18,25,10,15,25,8,7,15,4,4,8,23,25,48,10,4,14,16,7,23,3,4,7,12,10,22,200
Depresión(F32),,,,,,,,5,5,13,10,23,27,10,37,8,2,10,85,20,105,28,10,38,85,29,114,40,12,52,162,51,213,597
Desnutrición leve(E44.1),5,8,13,15,11,26,9,15,24,4,4,8,,3,3,1,1,2,2,,2,,,,2,4,6,,,,1,3,4,88
Desnutrición moderada(E44.0),1,,1,3,2,5,3,2,5,2,1,3,,1,1,,,,1,,1,,,,,,,,,,,1,1,17
Desnutrición severa(E40-E43),3,1,4,6,4,10,1,,1,1,,1,1,,1,,,,,,,,1,1,2,2,4,,,,7,2,9,31
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,3,,3,58,,58,,,,,,,,,,,,,61
Diabetes mellitus tipo 1(E10),,,,,,,1,,1,1,2,3,1,1,2,,,,,,,,,,,,,,,,3,5,8,14
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,3,3,6,,1,1,11,8,19,247,295,542,196,203,399,403,415,818,153,167,320,246,236,482,2587
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,,,,12,,12,59,,59,15,,15,13,,13,8,,8,4,,4,111
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,20,,20,3,,3,10,,10,4,,4,13,,13,50
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,3,,3,14,,14,42,,42,2,,2,1,,1,,,,,,,62
"Efectos del calor y de la luz(T67, X30)",,,,,,,1,3,4,2,2,4,1,1,2,2,,2,4,3,7,7,1,8,3,1,4,,2,2,7,8,15,48
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,1,,1,3,2,5,2,15,17,,6,6,3,6,9,38
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,2,,2,,1,1,,,,,,,11,8,19,9,12,21,44,75,119,40,51,91,319,285,604,857
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,10,10
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,1,,1,1,,1,2,2,4,3,3,6,23,40,63,75
Enfermedad febril exantemática(U97),1,,1,,1,1,5,,5,1,,1,,,,,,,,,,,,,,,,,,,,,,8
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,1,2,3,1,,1,19,53,72,31,47,78,115,170,285,78,101,179,392,353,745,1363
Enfermedad por virus Chikungunya(A92.0),,,,1,,1,,,,1,,1,,,,,,,2,3,5,,2,2,2,,2,1,,1,1,,1,13
"Enfermedad pulmonar obstructiva crónica (EPOC)(J41-J42, J44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,7,7,8
Enterobiasis(B80),,,,1,1,2,1,,1,,,,,,,,,,,,,,2,2,1,1,2,,,,,,,7
Erisipela(A46),,,,,,,3,,3,1,1,2,2,,2,,,,8,28,36,4,12,16,10,29,39,10,10,20,52,38,90,208
Escabiosis(B86),27,21,48,88,100,188,102,133,235,86,113,199,60,57,117,22,20,42,104,85,189,50,37,87,83,74,157,51,30,81,118,216,334,1677
Escarlatina(A38),,2,2,5,6,11,3,5,8,,,,,,,,,,,,,,,,,,,1,,1,,,,22
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",2,1,3,1,1,2,2,1,3,1,,1,1,,1,,,,1,,1,2,,2,1,,1,2,,2,3,,3,19
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",2,,2,3,3,6,10,4,14,6,6,12,3,3,6,3,3,6,12,6,18,4,3,7,9,3,12,3,4,7,7,5,12,102
Fiebre paratifoidea(A01.1-A01.4),,,,,,,1,,1,1,4,5,2,,2,,,,5,1,6,2,,2,2,2,4,1,,1,,,,21
Fiebre tifoidea(A01.0),,,,,,,6,3,9,10,5,15,9,,9,3,1,4,16,4,20,7,2,9,13,9,22,6,2,8,8,5,13,109
Giardiasis(A07.1),,3,3,10,9,19,3,6,9,7,1,8,2,,2,,1,1,1,1,2,,,,1,1,2,1,,1,,,,47
Gingivitis y enfermedad periodontal(K05),2,5,7,98,110,208,288,238,526,485,449,934,623,558,1181,548,348,896,2587,1543,4130,939,728,1667,1889,1475,3364,804,742,1546,1739,1545,3284,17751
Hepatitis vírica A(B15),,,,,1,1,1,1,2,2,2,4,2,,2,1,,1,2,2,4,,,,,,,,1,1,,,,15
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,1,,1,,5,5,,,,1,1,2,,,,,,,8
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,1,,1,1,,1,2,2,4,3,,3,9,1,10,19
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,1,1,,,,,,,,2,2,1,,1,,1,1,,,,,,,5
Herpes genital(A60.0),,,,,,,,,,,,,,1,1,,1,1,7,5,12,1,1,2,2,6,8,,2,2,2,1,3,29
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,5,5,,17,17,,114,114,,96,96,,261,261,493
Hipertensión arterial(I10-I15),,,,,,,,,,,,,,5,5,9,9,18,292,338,630,189,223,412,368,404,772,136,144,280,340,279,619,2736
